skill_id,category_id,skill_category,skill_subcategory,skill_name,skill_description,psoc_code,psoc_category,isco08_code,esco_skill_reference,related_skills,esco_skill_uri,esco_preferred_label,esco_alternative_labels,esco_description,esco_version,mapping_confidence,mapping_status,source_note
SK011,K01,"Technology, Data, and Digital Systems",Telecommunications and Digital Infrastructure,Cloud Computing,"Ability to use cloud-based services for storage, deployment, and computing.",2529,Database and Network Professionals Not Elsewhere Classified,2529,cloud technologies,"Cloud Computing; cloud technologies; edge computing; Telecommunications and Digital Infrastructure; Technology, Data, and Digital Systems",http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0,cloud technologies,cloud computing; edge computing,"The technologies which enable access to hardware, software, data and services through remote servers and software networks irrespective of their location and architecture.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK012,K02,"Business, Finance, and Office Administration","Finance, Accounting, and Bookkeeping",Bookkeeping,Ability to record and organize financial transactions and basic accounting records.,3313,Accounting Associate Professionals,3313,bookkeeping,"Bookkeeping; accounting controls; accounting governance; accounting supervision; accounting arrangements; book keeping supervision; Finance, Accounting, and Bookkeeping; Business, Finance, and Office Administration",http://data.europa.eu/esco/skill/2ff405ec-f59c-4a7b-84b6-9776a49582c4,bookkeeping regulations,accounting controls; accounting governance; accounting supervision; accounting arrangements; book keeping supervision; book keeping governance; book keeping arrangements; book keeping controls,The methods and regulations involved in the process of accurate bookkeeping.,ESCO v1.2.0 / API-ready,0.62,manual_review,seed_reference
SK013,K02,"Business, Finance, and Office Administration","Finance, Accounting, and Bookkeeping",Financial Reporting,Ability to prepare summaries of financial data for monitoring and decisions.,2411,Accountants,2411,financial reporting,"Financial Reporting; monetary estimating; monetary planning; financial planning; monetary calculating; financial calculating; Finance, Accounting, and Bookkeeping; Business, Finance, and Office Administration",http://data.europa.eu/esco/skill/4b2db903-cd8e-48ce-97fb-a92db4def54e,financial forecasting,monetary estimating; monetary planning; financial planning; monetary calculating; financial calculating; financial estimating,The tool used in performing fiscal financial management to identify revenue trends and estimated financial conditions.,ESCO v1.2.0 / API-ready,0.64,manual_review,seed_reference
SK014,K02,"Business, Finance, and Office Administration","Finance, Accounting, and Bookkeeping",Payroll Processing,"Ability to compute, prepare, and maintain payroll records.",4313,Payroll Clerks,4313,process payroll,"Payroll Processing; process payroll; collect payments; take payments for bills; handle payments; processing payments; accept payments; Finance, Accounting, and Bookkeeping",http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,collect payments; take payments for bills; handle payments; processing payments; accept payments; process a payment; process customer payments,"Accept payments such as cash, credit cards and debit cards. Handle reimbursement in case of returns or administer vouchers and marketing instruments such as bonus cards or membership cards. Pay attention to safety and the protection of personal data.",ESCO v1.2.0 / API-ready,0.62,manual_review,seed_reference
SK015,K02,"Business, Finance, and Office Administration",Office Administration and Clerical Support,Office Administration,"Ability to handle clerical, document, scheduling, and office coordination tasks.",4110,General Office Clerks,4110,office administration,"Office Administration; office control; office organisation; office management; Office Administration and Clerical Support; Business, Finance, and Office Administration",http://data.europa.eu/esco/skill/6a609f8f-1451-4102-ad2d-62c5270e1237,office administration,office control; office organisation; office management,"The paperwork processes related to the administrative areas of an office environment. The activities or processes may include financial planning, record keeping and billing and managing the general logistics of an organisation.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK016,K02,"Business, Finance, and Office Administration",Office Administration and Clerical Support,Document Management,"Ability to organize, file, retrieve, and maintain business documents.",4415,Filing and Copying Clerks,4415,manage documents,Document Management; manage documents; Alfresco Standard Network; Dokmee; Enterprise Content Management; FileHold; Athento Smart Document Management; Office Administration and Clerical Support,http://data.europa.eu/esco/skill/b769f524-0f25-44d7-8538-5c46710a040e,manage digital documents,Alfresco Standard Network; Dokmee; Enterprise Content Management; FileHold; Athento Smart Document Management; FileNet Content Manager; FileCenter Pro; SIVADOC; M-Files DMS; Nuxeo Document Management; DocuXplorer; BlueDoc; managing digital documents; manage digital files; PaperPort Pro; DocPoint; OneDrive; docSTAR eclipse,"Manage various data formats and files by naming, publishing, transforming and sharing files and documents and transforming file formats.",ESCO v1.2.0 / API-ready,0.75,partial_match,seed_reference
SK017,K02,"Business, Finance, and Office Administration",Office Administration and Clerical Support,Data Encoding,Ability to accurately enter and update information in digital systems.,4132,Data Entry Clerks,4132,data entry,Data Encoding; data entry; supervision of data entry; monitor data entry; oversee data entry; manage data entry; supervising data entry; Office Administration and Clerical Support,http://data.europa.eu/esco/skill/f399a9c1-be41-4117-bf86-a64b503c4cfd,supervise data entry,supervision of data entry; monitor data entry; oversee data entry; manage data entry; supervising data entry; data entry supervision; watch over data entry,"Supervise the entry of information such as addresses or names in a data storage and retrieval system via manual keying, electronic data transfer or by scanning.",ESCO v1.2.0 / API-ready,0.67,manual_review,seed_reference
SK018,K02,"Business, Finance, and Office Administration",Human Resources and Business Services,Human Resource Support,"Ability to assist with recruitment, records, and HR coordination.",4416,Human Resources Clerks,4416,human resource management,Human Resource Support; human resource management; human resource administration; HR management; human resources management; HR; human resource control; Human Resources and Business Services,http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba,human resource management,human resource administration; HR management; human resources management; HR; human resource control; HRM; human resource supervision,The function in an organisation concerned with the recruitment of employees and the optimisation of employee performance.,ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK019,K02,"Business, Finance, and Office Administration",Human Resources and Business Services,Recruitment Coordination,"Ability to support hiring schedules, applicant records, and recruitment communication.",2423,Personnel and Careers Professionals,2423,recruit employees,Recruitment Coordination; recruit employees; hire new personnel; hiring new personnel; recruit staff; employ new personnel; manage recruitment of employees; Human Resources and Business Services,http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b,recruit employees,hire new personnel; hiring new personnel; recruit staff; employ new personnel; manage recruitment of employees,"Hire new employees by scoping the job role, advertising, performing interviews and selecting staff in line with company policy and legislation.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK020,K02,"Business, Finance, and Office Administration",Human Resources and Business Services,Business Communication,Ability to communicate clearly in workplace and administrative settings.,4110,General Office Clerks,4110,business communication,"Business Communication; business communication process; Human Resources and Business Services; Business, Finance, and Office Administration; workplace skills",http://data.europa.eu/esco/skill/b17f4305-741a-4a1c-8fe8-6f11cb3d5c0a,business communication,business communication process,The process of effectively communicating within the workplace and to external bodies to achieve organisational goals.,ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK021,K02,"Business, Finance, and Office Administration",Management and Organizational Operations,Project Coordination,"Ability to organize tasks, timelines, and team coordination for projects.",3343,Administrative and Executive Secretaries,3343,project management,Project Coordination; project management; fundamentals of programme management; management of programmes; management of projects; fundamentals of project management; principles of project management; Management and Organizational Operations,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,project management,fundamentals of programme management; management of programmes; management of projects; fundamentals of project management; principles of project management; programme management; principles of programme management; programme management activities; project management activities,"The discipline of project management, the activities which comprise this area and the variables implied in it, such as time, resources, requirements, deadlines, and responding to unexpected events.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK022,K02,"Business, Finance, and Office Administration",Management and Organizational Operations,Operations Support,Ability to assist with daily business processes and workflow monitoring.,3341,Office Supervisors,3341,business operations,Operations Support; business operations; certify lawful business operations; ensure lawful business operation; guarantee lawful business operations; ensuring lawful business operations; ensure business operations are lawful; Management and Organizational Operations,http://data.europa.eu/esco/skill/2910e2f0-115f-4868-9282-604067153c4f,ensure lawful business operations,certify lawful business operations; ensure lawful business operation; guarantee lawful business operations; ensuring lawful business operations; ensure business operations are lawful,Comply with legislation in the daily operations of a company.,ESCO v1.2.0 / API-ready,0.65,manual_review,seed_reference
SK023,K03,"Sales, Marketing, and Customer Relations",Sales and Retail,Sales Techniques,Ability to communicate product value and close customer transactions.,5223,Shop Sales Assistants,5223,sales techniques,"Sales Techniques; sales promoting techniques; a sales promotion technique; sales promotion performance; sales promotion skills; sales promotion methods; Sales and Retail; Sales, Marketing, and Customer Relations",http://data.europa.eu/esco/skill/756ae350-9e1f-4cb9-9c27-6bd99806dadc,sales promotion techniques,sales promoting techniques; a sales promotion technique; sales promotion performance; sales promotion skills; sales promotion methods; sales promotion technique; sales promotion approaches,The techniques used to persuade customers to purchase a product or a service.,ESCO v1.2.0 / API-ready,0.73,partial_match,seed_reference
SK024,K03,"Sales, Marketing, and Customer Relations",Sales and Retail,Retail Operations,"Ability to support store activities, stock display, and customer transactions.",5223,Shop Sales Assistants,5223,retail operations,"Retail Operations; mill performance; mill operation; mill production; mill working; Sales and Retail; Sales, Marketing, and Customer Relations",http://data.europa.eu/esco/skill/bf5b4ec8-330c-4d51-bbbb-fc7ac6b4b2a5,mill operations,mill performance; mill operation; mill production; mill working,"Details of milling operations related to grind size, particle size distribution, heat evolution. Milling processes for different cereals and grains.",ESCO v1.2.0 / API-ready,0.64,manual_review,seed_reference
SK025,K03,"Sales, Marketing, and Customer Relations",Sales and Retail,Product Knowledge,Ability to understand and explain product features and benefits.,5223,Shop Sales Assistants,5223,product comprehension,"Product Knowledge; product comprehension; products comprehension; comprehending products; product understanding; product requirements; Sales and Retail; Sales, Marketing, and Customer Relations",http://data.europa.eu/esco/skill/d6d3fee7-47e2-47f4-a0ec-6c75f28c6abd,product comprehension,products comprehension; comprehending products; product understanding; product requirements; product knowledge; comprehension of products,"The offered products, their functionalities, properties and legal and regulatory requirements.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK026,K03,"Sales, Marketing, and Customer Relations",Marketing and Public Relations,Digital Marketing,"Ability to plan and support online marketing, campaigns, and social media promotion.",2431,Advertising and Marketing Professionals,2431,digital marketing techniques,"Digital Marketing; digital marketing techniques; online marketing techniques; on-line marketing techniques; online ads software; web marketing techniques; Marketing and Public Relations; Sales, Marketing, and Customer Relations",http://data.europa.eu/esco/skill/43dfbe7f-9e10-4871-b171-e5076737b4cf,digital marketing techniques,online marketing techniques; on-line marketing techniques; online ads software; web marketing techniques,"The marketing techniques used on the web to reach and engage with stakeholders, customers and clients.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK027,K03,"Sales, Marketing, and Customer Relations",Marketing and Public Relations,Social Media Management,"Ability to create, schedule, and monitor social media content.",2431,Advertising and Marketing Professionals,2431,use social media,"Social Media Management; use social media; non-violent social conflict resolution; social mediations; process of creation and management of social life; Marketing and Public Relations; Sales, Marketing, and Customer Relations",http://data.europa.eu/esco/skill/2b3ac8b9-a5bd-4ec1-bb9a-f499fb3aa8d3,social mediation,non-violent social conflict resolution; social mediations; process of creation and management of social life,The non-violent way of resolving and preventing social conflicts between two parties through the use of a neutral third party who organises and mediates discussions between the two conflicting parties in order to find a solution or compromise that suits both parties.,ESCO v1.2.0 / API-ready,0.62,manual_review,seed_reference
SK028,K03,"Sales, Marketing, and Customer Relations",Marketing and Public Relations,Market Research,Ability to gather and interpret market and customer information.,2431,Advertising and Marketing Professionals,2431,market research,"Market Research; market studies; market analysis; Marketing and Public Relations; Sales, Marketing, and Customer Relations",http://data.europa.eu/esco/skill/8770350e-746f-4adb-9556-18ca68104be6,market research,market studies; market analysis,"The processes, techniques, and purposes comprised in the first step for developing marketing strategies such as the collection of information about customers and the definition of segments and targets.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK029,K03,"Sales, Marketing, and Customer Relations",Customer Service and Client Information,Customer Service,"Ability to assist customers, resolve concerns, and provide service information.",4225,Contact Centre Information Clerks,4225,customer service,"Customer Service; customer satisfaction; customer care; customer well being; customer servicing; customer support; Customer Service and Client Information; Sales, Marketing, and Customer Relations",http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,customer service,customer satisfaction; customer care; customer well being; customer servicing; customer support; customer services,"Processes and principles related to the customer, client, service user and to personal services; these may include procedures to evaluate customer's or service user's satisfaction.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK030,K03,"Sales, Marketing, and Customer Relations",Customer Service and Client Information,Client Handling,Ability to manage client concerns professionally and courteously.,4225,Contact Centre Information Clerks,4225,handle customer complaints,"Client Handling; handle customer complaints; handle customers' complaints; handle complaints by customers; deal with client's negative feedback; address guest complaints; Customer Service and Client Information; Sales, Marketing, and Customer Relations",http://data.europa.eu/esco/skill/28d715e3-3e5b-4fb6-8dd2-4be4919c8587,handle customer complaints,handle customers' complaints; handle complaints by customers; deal with client's negative feedback; address guest complaints,Administer complaints and negative feedback from customers in order to address concerns and where applicable provide a quick service recovery.,ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK031,K03,"Sales, Marketing, and Customer Relations",Customer Service and Client Information,English Communication,Ability to communicate clearly in English for workplace or customer interactions.,4225,Contact Centre Information Clerks,4225,communicate in English,English Communication; communicate in English; effectively communicate in healthcare; communicate effectively in health care; use communication techniques to interact with patients families and caregivers; communicate effectively with patients families and caregivers; communicate effectively in healthcare; Customer Service and Client Information,http://data.europa.eu/esco/skill/7110bf9f-b245-4adc-9159-5081013fd64d,communicate in healthcare,effectively communicate in healthcare; communicate effectively in health care; use communication techniques to interact with patients families and caregivers; communicate effectively with patients families and caregivers; communicate effectively in healthcare,"Communicate effectively with patients, families and other caregivers, health care professionals, and community partners.",ESCO v1.2.0 / API-ready,0.67,manual_review,seed_reference
SK032,K03,"Sales, Marketing, and Customer Relations","Purchasing, Brokerage, and Commercial Support",Negotiation,Ability to discuss terms and reach mutually acceptable agreements.,3323,Buyers,3323,negotiate sales contracts,"Negotiation; negotiate sales contracts; debate sales contracts; negotiating sales contracts; negotiate a sales contract; sales contract negotiations; consult on sales contracts; Purchasing, Brokerage, and Commercial Support",http://data.europa.eu/esco/skill/71152876-b629-4a99-b9ea-0f25a0d07e4e,negotiate sales contracts,debate sales contracts; negotiating sales contracts; negotiate a sales contract; sales contract negotiations; consult on sales contracts; settle sales contracts; confer on sales contracts,"Come to an agreement between commercial partners with a focus on terms and conditions, specifications, delivery time, price etc.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK033,K03,"Sales, Marketing, and Customer Relations","Purchasing, Brokerage, and Commercial Support",Purchasing Support,Ability to assist with supplier coordination and purchase documentation.,3323,Buyers,3323,purchase supplies,"Purchasing Support; purchase supplies; acquire supplies; pay for supplies; gain supplies; purchase DIY supplies; purchase of supplies; Purchasing, Brokerage, and Commercial Support",http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,purchase supplies,acquire supplies; pay for supplies; gain supplies; purchase DIY supplies; purchase of supplies; supplies purchasing; purchasing supplies; buy supplies,Purchase and replenish supplies; make sure that all required goods are available in stock.,ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK034,K04,"Creative, Media, and Communications","Writing, Journalism, and Language",Content Writing,"Ability to write clear, audience-appropriate content for digital or print use.",2641,Authors and Related Writers,2641,write content,"Content Writing; write content; correspond in written Montenegrin; show competency in written Montenegrin; Writing, Journalism, and Language; Creative, Media, and Communications",http://data.europa.eu/esco/skill/4aaa3e87-2b29-4a83-bdff-cbe51db03fc5,write Montenegrin,correspond in written Montenegrin; show competency in written Montenegrin,Compose written texts in Montenegrin.,ESCO v1.2.0 / API-ready,0.62,manual_review,seed_reference
SK035,K04,"Creative, Media, and Communications","Writing, Journalism, and Language",Copywriting,"Ability to write persuasive text for marketing, advertising, or campaigns.",2641,Authors and Related Writers,2641,copywriting,"Copywriting; undertake copywriting; performing copywriting; complete copywriting; implement copywriting; copywriting performance; Writing, Journalism, and Language; Creative, Media, and Communications",http://data.europa.eu/esco/skill/ce592b28-4467-4908-b2e6-64bbe18da631,perform copywriting,undertake copywriting; performing copywriting; complete copywriting; implement copywriting; copywriting performance; perform copy writing,Write creative texts targeted to a specific audience for marketing and advertising purposes and ensure that the message convinces potential customers to buy a product or a service and facilitates a positive outlook on the organisation.,ESCO v1.2.0 / API-ready,0.65,manual_review,seed_reference
SK036,K04,"Creative, Media, and Communications","Writing, Journalism, and Language",Proofreading,"Ability to review text for grammar, spelling, clarity, and accuracy.",2641,Authors and Related Writers,2641,proofread text,"Proofreading; proofread text; proofread content for publishing; Writing, Journalism, and Language; Creative, Media, and Communications",http://data.europa.eu/esco/skill/637ca2e2-0624-48b1-be6e-9ff4580344ac,proofread text,proofread content for publishing,"Read a text thoroughly, search for, review and correct errors to ensure content is valid for publishing.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK037,K04,"Creative, Media, and Communications",Creative and Performing Arts,Creative Concept Development,"Ability to generate creative ideas for media, campaign, or artistic outputs.",2654,"Film, Stage and Related Directors and Producers",2654,develop creative ideas,"Creative Concept Development; develop creative ideas; produce creative ideas; generate creative ideas; developing creative ideas; create creative ideas; Creative and Performing Arts; Creative, Media, and Communications",http://data.europa.eu/esco/skill/8c4c49d4-9708-433f-8ca7-bf2c5211ee49,develop creative ideas,produce creative ideas; generate creative ideas; developing creative ideas; create creative ideas,Developing new artistic concepts and creative ideas.,ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK038,K04,"Creative, Media, and Communications",Creative and Performing Arts,Photography,Ability to capture and prepare photographs for communication or documentation.,3431,Photographers,3431,photography,"Photography; picture taking; shooting; Creative and Performing Arts; Creative, Media, and Communications",http://data.europa.eu/esco/skill/38509fa4-7c06-4a4b-9622-f521f03c37b8,photography,picture taking; shooting,Art and practice of creating aesthetically appealing images by recording light or electromagnetic radiation.,ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK039,K04,"Creative, Media, and Communications",Creative and Performing Arts,Video Editing,Ability to assemble and edit video clips into coherent multimedia outputs.,3521,Broadcasting and Audiovisual Technicians,3521,edit recorded video,"Video Editing; edit recorded video; edit sound footage; edit recorded sounds; edit sound recording; edit audio recordings; Creative and Performing Arts; Creative, Media, and Communications",http://data.europa.eu/esco/skill/c2218533-3e2a-4f50-b4fd-afde71dcf442,edit recorded sound,edit sound footage; edit recorded sounds; edit sound recording; edit audio recordings,"Edit audio footage using a variety of sofware, tools, and techniques such as crossfading, speed effects, and removing unwanted noises.",ESCO v1.2.0 / API-ready,0.69,partial_match,seed_reference
SK040,K04,"Creative, Media, and Communications","Design, Multimedia, and Cultural Work",Graphic Design,"Ability to create visual layouts, digital graphics, and communication materials.",2166,Graphic and Multimedia Designers,2166,graphic design,"Graphic Design; graphic designs; graphic designing; visual design; Design, Multimedia, and Cultural Work; Creative, Media, and Communications",http://data.europa.eu/esco/skill/7fb699d9-182a-430e-b7a0-6d8ed05c284b,graphic design,graphic designs; graphic designing; visual design,The techniques to create a visual representation of ideas and messages.,ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK041,K04,"Creative, Media, and Communications","Design, Multimedia, and Cultural Work",Multimedia Design,"Ability to combine graphics, audio, animation, and video for digital content.",2166,Graphic and Multimedia Designers,2166,multimedia systems,"Multimedia Design; multimedia systems; a multimedia system; multimedia organisation; multimedia structure; multimedia arrangement; multimedia system; Design, Multimedia, and Cultural Work",http://data.europa.eu/esco/skill/a59708e3-e654-4e37-8b8a-741c3b756eee,multimedia systems,a multimedia system; multimedia organisation; multimedia structure; multimedia arrangement; multimedia system; multimedia scheme,"The methods, procedures and techniques pertaining to the operation of multimedia systems, usually a combination of software and hardware, presenting various types of media such as video and audio.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK042,K04,"Creative, Media, and Communications","Design, Multimedia, and Cultural Work",UI Design,Ability to design user interface layouts for websites or applications.,2166,Graphic and Multimedia Designers,2166,user interface design,"UI Design; user interface design; design user interface specifications; design user interfaces; Design, Multimedia, and Cultural Work; Creative, Media, and Communications",http://data.europa.eu/esco/skill/fd33c66c-70c4-40e6-b87c-5495bd3bf26e,design user interface,design user interface specifications; design user interfaces,"Create software or device components which enable interaction between humans and systems or machines, using appropriate techniques, languages and tools so as to streamline interaction while using the system or machine.",ESCO v1.2.0 / API-ready,0.78,partial_match,seed_reference
SK043,K04,"Creative, Media, and Communications",Broadcasting and Content Support,Audio Editing,"Ability to clean, arrange, and prepare audio materials for production.",3521,Broadcasting and Audiovisual Technicians,3521,edit audio,"Audio Editing; edit audio; edit the negatives; alter negatives; retouch negatives; editing of negatives; Broadcasting and Content Support; Creative, Media, and Communications",http://data.europa.eu/esco/skill/0fba68dc-6f5d-4974-b3cf-5d3215f7d363,edit negatives,edit the negatives; alter negatives; retouch negatives; editing of negatives,Use different software products and techniques to process photographic negatives and adapt the images to the desired specifications.,ESCO v1.2.0 / API-ready,0.62,manual_review,seed_reference
SK044,K04,"Creative, Media, and Communications",Broadcasting and Content Support,Content Planning,"Ability to organize topics, schedules, and formats for content publication.",2642,Journalists,2642,plan content,"Content Planning; plan content; organise and retrieve content; collect and arrange content; curate and organize content for targeted media; select and arrange content; Broadcasting and Content Support; Creative, Media, and Communications",http://data.europa.eu/esco/skill/96a67da1-881f-4d09-927e-ac75fcff4d93,compile content,organise and retrieve content; collect and arrange content; curate and organize content for targeted media; select and arrange content,"Retrieve, select and organise content from specific sources, according to the requirements of the output media such as printed materials, online applications, platforms, websites and video.",ESCO v1.2.0 / API-ready,0.62,manual_review,seed_reference
