resource_id,course_or_certification_title,course_or_certification_description,recommended_experience,schedule,level,estimated_duration,skills_youll_gain,skill_ids,category_id,category_name,offered_by_provider,provider_type,provider_trust_score_auto,resource_type,language,delivery_mode,cost_type,status,notes,external_course_or_certification_link,mapped_skill_names,skill_id_mapping_status,skill_id_mapping_notes
LR-011,"Project Management Professional
(PMP)","World's leading project management certification by
PMI. Covers predictive, agile, and hybrid project
delivery frameworks. Source: pmi.org","Exam on-demand at
Pearson VUE; renewal
every 3 years (60 PDUs)","Exam on-demand at
Pearson VUE; renewal
every 3 years (60 PDUs)",Professional,"200-250 hours of
study recommended","Project Planning, Risk Management, Stakeholder Engagement,
Agile/Scrum, Budget Control",SK021;SK213;SK224;SK119;SK242,K02,"Business, Finance, and Office Administration",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Project Coordination; Agile project management; ICT project management methodologies; Risk Reporting; Control financial resources,mapped,unmapped_terms=PMI. Covers predictive | Stakeholder Engagement
LR-012,"Certified Management Accountant
(CMA)","Issued by IMA (Institute of Management
Accountants). Covers financial planning, analysis,
control, and decision support for management roles.
Source: imanet.org","Two exam parts; testing
year-round at Prometric
centers","Two exam parts; testing
year-round at Prometric
centers",Professional,"150-170 hours per
part recommended","Financial Planning & Analysis, Cost Management, Internal Controls,
Performance Management, Ethics",SK016;SK013;SK005;SK012;SK206;SK244;SK411,K02,"Business, Finance, and Office Administration",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Document Management; Financial Reporting; Data Analysis; Bookkeeping; Operations management; Management systems standards; Health care occupation-specific ethics,mapped,unmapped_terms=Internal Controls | Performance Management
LR-013,"CIPS Level 4 Diploma in Procurement
& Supply","Issued by the Chartered Institute of Procurement &
Supply (UK/Global). Covers strategic sourcing,
supplier management, and contract negotiation.
Source: cips.org","Self-paced online or
classroom; exams held
quarterly","Self-paced online or
classroom; exams held
quarterly","Professional
Diploma",6-12 months part-time ,"Procurement Strategy, Supplier Evaluation, Contract Management, Supply
Chain Risk, Cost Negotiation",SK205;SK221;SK207;SK032;SK047,K02,"Business, Finance, and Office Administration",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Maintain administrative records in the veterinary office; Manufacturing of office equipment; Support implementation of quality management systems; Negotiation; Student Assessment,mapped,unmapped_terms=Supply (UK | Global). Covers strategic sourcing | Source: cips.org Procurement Strategy | Supplier Evaluation | Contract Management | Chain Risk
LR-014,"Google Digital Marketing &
E-commerce Certificate","Professional certificate by Google offered via
Coursera. Covers digital marketing fundamentals,
SEO, SEM, e-commerce, email and social media
marketing, and analytics. Source: coursera.org/prof
essional-certificates/google-digital-marketing-ecom
merce",No prior experience required,"Self-paced; approximately
10 hours/week",Beginner / Entry,6 months (flexible),"SEO/SEM, Google Ads, Email Marketing, E-commerce Analytics, Social
Media Marketing",SK023;SK026;SK034;SK004;SK264;SK051,K02,"Business, Finance, and Office Administration",Coursera / Google,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Sales Techniques; Digital Marketing; Content Writing; SQL; Execute email marketing; Community Engagement,mapped,unmapped_terms=E-commerce Certificate Professional certificate by Google offered via | e-commerce | prof | essional-certificates | merce SEO
LR-015,"HubSpot Inbound Marketing
Certification","Free certification by HubSpot Academy covering
inbound methodology, content strategy, social
media promotion, conversational marketing, and
email marketing. Source: academy.hubspot.com","No prerequisites; suitable for
marketers at all levels","Self-paced online; exam on
completion","Beginner to
Intermediate",4-6 hours,"Inbound Marketing, Content Strategy, Lead Nurturing, Email Marketing,
Buyer Personas",SK023;SK226;SK051;SK034;SK235;SK264,K02,"Business, Finance, and Office Administration",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Sales Techniques; Project management methodology (PM²); Community Engagement; Content Writing; Handle cash flow; Execute email marketing,mapped,unmapped_terms=Certification Free certification by HubSpot Academy covering | content strategy | Content Strategy | Lead Nurturing | Buyer Personas
LR-016,"Meta Social Media Marketing
Professional Certificate","Issued by Meta via Coursera. Covers Facebook &
Instagram advertising, content creation, community
management, and performance analytics using
Meta Business Suite. Source: coursera.org/professi
onal-certificates/facebook-social-media-marketing",No prior experience required,Self-paced; ~5 hours/week,Beginner,5 months (flexible) ,"Social Media Strategy, Meta Ads Manager, Community Management,
Campaign Analytics, Content Creation",SK023;SK034;SK046;SK008;SK004;SK012;SK056;SK027;SK263,K02,"Business, Finance, and Office Administration",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Sales Techniques; Content Writing; Classroom Management; Database Management; SQL; Bookkeeping; Patient Assessment Support; Social Media Management; Plan digital marketing,mapped,unmapped_terms=Professional Certificate Issued by Meta via Coursera. Covers Facebook & | Instagram advertising | onal-certificates | Meta Ads Manager
LR-017,"Salesforce Certified Sales
Representative","Issued by Salesforce. Validates knowledge of sales
processes, pipeline management, customer
engagement, and CRM best practices using
Salesforce platform. Source: trailhead.salesforce.co
m/credentials/salesrepresentative","1+ years sales experience
recommended; Salesforce
platform familiarity helpful","Exam on-demand at
Kryterion testing centers or
online proctored",Intermediate,"60-80 hours of
Trailhead prep
recommended","CRM Management, Sales Pipeline, Customer Engagement, Forecasting,
Salesforce Platform",SK023;SK047;SK207;SK014;SK051;SK013,K02,"Business, Finance, and Office Administration",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Sales Techniques; Student Assessment; Support implementation of quality management systems; Payroll Processing; Community Engagement; Financial Reporting,mapped,unmapped_terms=and CRM best practices using | m | credentials | Customer Engagement
LR-018,Google Analytics Certification (GAIQ) ,"Free certification by Google via Skillshop. Validates
proficiency in Google Analytics 4 — data collection,
reporting, attribution, and insight generation.
Source: skillshop.google.com","Familiarity with basic digital
marketing concepts
recommended","Self-paced; exam valid for
12 months","Beginner to
Intermediate",4-8 hours,"GA4 Reporting, Audience Analysis, Conversion Tracking, Attribution
Modeling, Data Visualization",SK004;SK013;SK254;SK006,K02,"Business, Finance, and Office Administration",Coursera / Google,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,SQL; Financial Reporting; Manage financial and material resources; Data Visualization,mapped,unmapped_terms=attribution | Audience Analysis | Conversion Tracking | Attribution
LR-019,"Google UX Design Professional
Certificate","Offered by Google via Coursera. Covers the full UX
design process: empathize, define, ideate,
prototype, and test. Includes Figma and wireframing
tools. Source: coursera.org/professional-certificates
/google-ux-design",No prior experience required,"Self-paced; ~10
hours/week",Beginner,6 months (flexible),"UX Research, Wireframing, Prototyping, Figma, Usability Testing,
Interaction Design",SK040;SK139;SK137;SK042,K02,"Business, Finance, and Office Administration",Coursera / Google,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Graphic Design; Establish an Information Security Management System; Develop software prototype; UI Design,mapped,unmapped_terms=Certificate Offered by Google via Coursera. Covers the full UX | ideate | tools. Source: coursera.org | professional-certificates | Wireframing | Prototyping | Usability Testing
LR-020,"Adobe Certified Professional — Visual
Design (Photoshop/Illustrator)","Issued by Adobe via Certiport. Validates proficiency
in Adobe Photoshop or Illustrator for digital imaging,
visual communication, and graphic design. Source:
certiport.com/adobe","Basic familiarity with Adobe
Creative Cloud tools","Exam on-demand at
Certiport authorized
centers; no expiry",Intermediate,"40-60 hours of
practice
recommended","Adobe Photoshop, Adobe Illustrator, Visual Design, Image Editing,
Typography, Brand Assets",SK040;SK125;SK020;SK164;SK283,K03,"Sales, Marketing, and Customer Relations",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Graphic Design; Cyber attack counter-measures; Business Communication; Use media software; Brand marketing techniques,mapped,unmapped_terms=Adobe Certified Professional — Visual | certiport.com
LR-021,"HubSpot Content Marketing
Certification","Free certification by HubSpot Academy. Covers
content creation framework, storytelling, promotion
strategy, content repurposing, and measuring ROI
of content programs. Source:
academy.hubspot.com","No prerequisites; suitable for
writers, marketers, and content
leads","Self-paced online; exam on
completion; renew every
25 months","Beginner to
Intermediate",6-8 hours,"Content Strategy, SEO Writing, Storytelling, Content Repurposing,
Blogging, Editorial Planning",SK023;SK034;SK149,K03,"Sales, Marketing, and Customer Relations",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Sales Techniques; Content Writing; Information security strategy,mapped,unmapped_terms=Certification Free certification by HubSpot Academy. Covers | content repurposing | and measuring ROI | of content programs. Source: | academy.hubspot.com Content Strategy | Content Repurposing | Blogging | Editorial Planning
LR-022,"Meta Blueprint Certification — Meta
Certified Digital Marketing Associate","Issued by Meta (Facebook). Entry-level certification
validating knowledge of Meta technologies including
Facebook, Instagram, Messenger, and WhatsApp
for business. Source:
facebook.com/business/learn/certification","Basic understanding of social
media marketing recommended","Exam on-demand online
via Pearson VUE; valid 1
year",Associate / Entry,"20-30 hours of study
recommended","Facebook Ads, Instagram Marketing, Meta Business Suite, Audience
Targeting, Campaign Measurement",SK023;SK012;SK050;SK330,K03,"Sales, Marketing, and Customer Relations",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Sales Techniques; Bookkeeping; Learning Evaluation; Translate requirements into visual design,mapped,unmapped_terms=Meta Blueprint Certification — Meta | validating knowledge of Meta technologies including | Facebook | Instagram | Messenger | and WhatsApp | facebook.com | certification Facebook Ads | Targeting | Campaign Measurement
LR-023,"PRSA APR (Accreditation in Public
Relations)","Issued by the Public Relations Society of America
(PRSA). Advanced credential for PR professionals
covering strategic planning, research, ethics, and
crisis communications. Source:
prsa.org/aprbody-of-knowledge","Minimum 5 years full-time PR
experience required","Panel presentation +
computer-based exam;
offered year-round","Advanced /
Professional","3-6 months of
preparation
recommended","Media Relations, Strategic PR Planning, Crisis Communications,
Stakeholder Engagement, Ethics",SK313;SK273;SK028;SK411;SK030;SK020;SK034,K03,"Sales, Marketing, and Customer Relations",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Public relations; Build a strategic marketing plan for destination management; Market Research; Health care occupation-specific ethics; Client Handling; Business Communication; Content Writing,mapped,unmapped_terms=(PRSA). Advanced credential for PR professionals | prsa.org | Strategic PR Planning | Stakeholder Engagement
LR-114,Certificate Pathway: SQL,"Prototype curated learning resource for SQL. Covers SQL, Data Analysis, Data Visualization and supports Kareerly skill-gap recommendations for Data, Analytics, and Statistics. Verify the exact provider course before final release.",No formal experience required,Flexible/Self-paced,Beginner,2–4 hours,SQL; Data Analysis; Data Visualization,SK004;SK005;SK006,K01,"Technology, Data, and Digital Systems",Coursera,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://www.coursera.org/search?query=SQL,SQL; Data Analysis; Data Visualization,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-115,Foundations Course: Web Development,"Prototype curated learning resource for Web Development. Covers Web Development, Python Programming, JavaScript Programming and supports Kareerly skill-gap recommendations for Software and Applications. Verify the exact provider course before final release.",Basic related experience recommended,Flexible/Self-paced,Intermediate,6–10 hours,Web Development; Python Programming; JavaScript Programming,SK003;SK001;SK002,K01,"Technology, Data, and Digital Systems",edX,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://www.edx.org/search?q=Web+Development,Web Development; Python Programming; JavaScript Programming,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-116,Practical Skills Certificate: SAS language,"Prototype curated learning resource for SAS language. Covers SAS language, Python Programming, JavaScript Programming and supports Kareerly skill-gap recommendations for Software and Applications. Verify the exact provider course before final release.",No formal experience required,Flexible/Self-paced,Foundational,2–4 weeks,SAS language; Python Programming; JavaScript Programming,SK159;SK001;SK002,K01,"Technology, Data, and Digital Systems",IBM SkillsBuild,Industry Vendor,85,Course/Certification,English,Online/Self-paced,Free,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://skillsbuild.org/,SAS language; Python Programming; JavaScript Programming,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-117,Career Readiness Course: Data science,"Prototype curated learning resource for Data science. Covers Data science, SQL, Data Analysis and supports Kareerly skill-gap recommendations for Data, Analytics, and Statistics. Verify the exact provider course before final release.",No formal experience required,Flexible/Self-paced,Beginner,4–6 weeks,Data science; SQL; Data Analysis,SK130;SK004;SK005,K01,"Technology, Data, and Digital Systems",Cisco Networking Academy,Industry Vendor,85,Course/Certification,English,Online/Self-paced,Free/Paid,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://www.netacad.com/,Data science; SQL; Data Analysis,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-118,Certificate Pathway: Business Communication,"Prototype curated learning resource for Business Communication. Covers Business Communication, Human Resource Support, Recruitment Coordination and supports Kareerly skill-gap recommendations for Human Resources and Business Services. Verify the exact provider course before final release.",Basic related experience recommended,Flexible/Self-paced,Intermediate,2–4 hours,Business Communication; Human Resource Support; Recruitment Coordination,SK020;SK018;SK019,K02,"Business, Finance, and Office Administration",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Review,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,,Business Communication; Human Resource Support; Recruitment Coordination,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-119,Foundations Course: Risk Reporting,"Prototype curated learning resource for Risk Reporting. Covers Risk Reporting, Security Monitoring, Emergency Response and supports Kareerly skill-gap recommendations for Protective and Security Services. Verify the exact provider course before final release.",No formal experience required,Flexible/Self-paced,Foundational,6–10 hours,Risk Reporting; Security Monitoring; Emergency Response,SK119;SK117;SK118,K11,"Public Service, Legal, and Protective Services",Coursera,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://www.coursera.org/search?query=Risk+Reporting,Risk Reporting; Security Monitoring; Emergency Response,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-120,Practical Skills Certificate: Case Documentation,"Prototype curated learning resource for Case Documentation. Covers Case Documentation, Community Engagement, Counselling Support and supports Kareerly skill-gap recommendations for Social, Religious, and Community Work. Verify the exact provider course before final release.",No formal experience required,Flexible/Self-paced,Beginner,2–4 weeks,Case Documentation; Community Engagement; Counselling Support,SK052;SK051;SK053,K05,"Education, Training, and Community Services",UPOU MODeL,University,92,Course/Certification,English,Online/Self-paced,Free,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://model.upou.edu.ph/,Case Documentation; Community Engagement; Counselling Support,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-121,Career Readiness Course: Establish an Information Security Management System,"Prototype curated learning resource for Establish an Information Security Management System. Covers Establish an Information Security Management System, Technical Support, Database Management and supports Kareerly skill-gap recommendations for Networks, Databases, and IT Support. Verify the exact provider course before final release.",Basic related experience recommended,Flexible/Self-paced,Intermediate,4–6 weeks,Establish an Information Security Management System; Technical Support; Database Management,SK139;SK007;SK008,K01,"Technology, Data, and Digital Systems",IBM SkillsBuild,Industry Vendor,85,Course/Certification,English,Online/Self-paced,Free,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://skillsbuild.org/,Establish an Information Security Management System; Technical Support; Database Management,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-122,Certificate Pathway: Data Analysis,"Prototype curated learning resource for Data Analysis. Covers Data Analysis, SQL, Data Visualization and supports Kareerly skill-gap recommendations for Data, Analytics, and Statistics. Verify the exact provider course before final release.",No formal experience required,Flexible/Self-paced,Foundational,2–4 hours,Data Analysis; SQL; Data Visualization,SK005;SK004;SK006,K01,"Technology, Data, and Digital Systems",Cisco Networking Academy,Industry Vendor,85,Course/Certification,English,Online/Self-paced,Free/Paid,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://www.netacad.com/,Data Analysis; SQL; Data Visualization,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-123,Foundations Course: JavaScript Programming,"Prototype curated learning resource for JavaScript Programming. Covers JavaScript Programming, Python Programming, Web Development and supports Kareerly skill-gap recommendations for Software and Applications. Verify the exact provider course before final release.",No formal experience required,Flexible/Self-paced,Beginner,6–10 hours,JavaScript Programming; Python Programming; Web Development,SK002;SK001;SK003,K01,"Technology, Data, and Digital Systems",Udemy,Private Training Platform,75,Course/Certification,English,Online/Self-paced,Paid,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://www.udemy.com/courses/search/?q=JavaScript+Programming,JavaScript Programming; Python Programming; Web Development,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-124,Practical Skills Certificate: Technical Support,"Prototype curated learning resource for Technical Support. Covers Technical Support, Database Management, Network Administration and supports Kareerly skill-gap recommendations for Networks, Databases, and IT Support. Verify the exact provider course before final release.",Basic related experience recommended,Flexible/Self-paced,Intermediate,2–4 weeks,Technical Support; Database Management; Network Administration,SK007;SK008;SK009,K01,"Technology, Data, and Digital Systems",Coursera,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://www.coursera.org/search?query=Technical+Support,Technical Support; Database Management; Network Administration,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
LR-125,Career Readiness Course: Data mining,"Prototype curated learning resource for Data mining. Covers Data mining, SQL, Data Analysis and supports Kareerly skill-gap recommendations for Data, Analytics, and Statistics. Verify the exact provider course before final release.",No formal experience required,Flexible/Self-paced,Foundational,4–6 weeks,Data mining; SQL; Data Analysis,SK123;SK004;SK005,K01,"Technology, Data, and Digital Systems",edX,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Generated - Review Needed,Auto-generated to expand prototype coverage; verify exact course/certification title and URL before final deployment.,https://www.edx.org/search?q=Data+mining,Data mining; SQL; Data Analysis,generated_mapped,Generated from Expanded_Kareerly_Skills_Reference_SK001_SK621 and linked by skill_ids.
